[2026-04-12 19:42:46] LOADED | Host: \\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe
[2026-04-12 19:42:46] LOADED | Host: \\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe
[2026-04-12 19:42:46] UNLOADED | Host: \\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe
[2026-04-12 19:42:48] LOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:42:56] UNLOADED | Host: \\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe
[2026-04-12 19:42:56] UNLOADED | Host: \\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe
[2026-04-12 19:43:02] LOADED | Host: C:\WINDOWS\System32\rundll32.exe
[2026-04-12 19:43:02] UNLOADED | Host: C:\WINDOWS\System32\rundll32.exe
[2026-04-12 19:43:03] LOADED | Host: C:\WINDOWS\system32\consent.exe
[2026-04-12 19:43:03] LOADED | Host: C:\WINDOWS\system32\ctfmon.exe
[2026-04-12 19:43:05] UNLOADED | Host: C:\WINDOWS\system32\consent.exe
[2026-04-12 19:43:05] LOADED | Host: C:\WINDOWS\system32\conhost.exe
[2026-04-12 19:43:05] LOADED | Host: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
[2026-04-12 19:43:16] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:43:34] UNLOADED | Host: C:\WINDOWS\uus\packages\preview\AMD64\MoUsoCoreWorker.exe
[2026-04-12 19:43:38] UNLOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:43:44] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:43:46] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:43:46] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:43:46] LOADED | Host: C:\WINDOWS\system32\lsass.exe
[2026-04-12 19:43:46] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:43:47] UNLOADED | Host: C:\WINDOWS\system32\wbem\wmiprvse.exe
[2026-04-12 19:43:47] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:43:47] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:43:47] LOADED | Host: C:\WINDOWS\system32\wbem\wmiprvse.exe
[2026-04-12 19:43:52] LOADED | Host: \\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe
[2026-04-12 19:43:52] UNLOADED | Host: \\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe
[2026-04-12 19:43:56] UNLOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:44:17] UNLOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:44:19] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:44:19] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:44:19] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:44:19] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:44:19] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:44:19] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:44:38] LOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:44:38] LOADED | Host: C:\WINDOWS\system32\wermgr.exe
[2026-04-12 19:44:39] UNLOADED | Host: C:\WINDOWS\system32\wermgr.exe
[2026-04-12 19:44:39] UNLOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:45:01] LOADED | Host: C:\WINDOWS\system32\svchost.exe
